iter	MultiClass
0	1.328212407
1	1.293153362
2	1.259944407
3	1.227145643
4	1.195051703
5	1.171245848
6	1.144908921
7	1.110860131
8	1.089383736
9	1.066128623
10	1.044634525
11	1.027864151
12	1.011849208
13	0.9979919691
14	0.9860460443
15	0.9707336752
16	0.9575944105
17	0.9444289258
18	0.9321024672
19	0.9202395654
20	0.9076658636
21	0.9006866765
22	0.8938309942
23	0.8842771224
24	0.8738419338
25	0.8644608261
26	0.8554173329
27	0.8462460697
28	0.8380834886
29	0.8307354129
30	0.8199547302
31	0.8155445948
32	0.8068287693
33	0.8011857936
34	0.7959080914
35	0.7880167779
36	0.7838018068
37	0.779979769
38	0.775020255
39	0.7695300904
40	0.7646255637
41	0.7592780332
42	0.7570924643
43	0.7540018878
44	0.749723865
45	0.7421991591
46	0.7384122064
47	0.7337374807
48	0.7281708686
49	0.7244756894
50	0.7203099706
51	0.7172482295
52	0.7136048322
53	0.7095149419
54	0.707442035
55	0.7025916382
56	0.700067814
57	0.6957463958
58	0.6929113766
59	0.6895978755
60	0.6865176923
61	0.6827384564
62	0.6782394741
63	0.6746745906
64	0.6710954223
65	0.668493428
66	0.6658694989
67	0.6630264818
68	0.6587645313
69	0.6557299625
70	0.6510338721
71	0.6471933982
72	0.6428362562
73	0.6379301404
74	0.6355197049
75	0.6324098055
76	0.6290267976
77	0.6269204112
78	0.625061885
79	0.6211960238
80	0.6182874169
81	0.6153327081
82	0.6121766421
83	0.6094583892
84	0.6056280423
85	0.6020130944
86	0.5980880244
87	0.5957343822
88	0.5927966909
89	0.5895482745
90	0.587034451
91	0.5838397203
92	0.5809600653
93	0.57834781
94	0.5747299918
95	0.5717257782
96	0.569205429
97	0.5655563625
98	0.5638575576
99	0.5605072342
100	0.5574477126
101	0.5540591264
102	0.5493193663
103	0.5456447497
104	0.5419009331
105	0.5386200688
106	0.5341675023
107	0.5299779436
108	0.5272199849
109	0.5244262114
110	0.5218601088
111	0.5198737552
112	0.5163728172
113	0.5146067523
114	0.5123201447
115	0.5093027043
116	0.5071009635
117	0.5040209978
118	0.5014675833
119	0.4991164744
120	0.4972028066
121	0.4950614679
122	0.4921622073
123	0.4890607237
124	0.4870235992
125	0.4845127397
126	0.4813892888
127	0.4793746788
128	0.4773585304
129	0.4748219345
130	0.4733420198
131	0.4708442988
132	0.4690306844
133	0.4677505066
134	0.4642372402
135	0.462464704
136	0.4606896957
137	0.4591460395
138	0.457897965
139	0.4559855647
140	0.4529193337
141	0.4503769426
142	0.4484619726
143	0.4450155477
144	0.4428879771
145	0.4412262636
146	0.4395475031
147	0.4371597771
148	0.4359263976
149	0.4342416866
150	0.4325900725
151	0.4302698854
152	0.4283533353
153	0.4267831711
154	0.4255592647
155	0.4238073672
156	0.422313807
157	0.4209592619
158	0.41984454
159	0.4185777638
160	0.4177267793
161	0.4163365752
162	0.414789575
163	0.413803865
164	0.4128122616
165	0.4116428043
166	0.4106927092
167	0.4088784165
168	0.4073910309
169	0.4048784457
170	0.4040620769
171	0.402509452
172	0.4014615258
173	0.3998707565
174	0.3995790583
175	0.3984247799
176	0.3977487124
177	0.3969413209
178	0.3960830858
179	0.3950759241
180	0.3940488833
181	0.3927503883
182	0.3918011424
183	0.3906206289
184	0.3894738262
185	0.3875343517
186	0.3860582555
187	0.3854864329
188	0.384976214
189	0.3829470914
190	0.3818670678
191	0.3811577608
192	0.3804966862
193	0.3788126155
194	0.3777014608
195	0.3764351856
196	0.3754064189
197	0.3747594551
198	0.3736050328
199	0.3726462179
200	0.3712936296
201	0.3700101082
202	0.3691342469
203	0.3679685544
204	0.3667315861
205	0.3658450614
206	0.3649257031
207	0.3639688485
208	0.3628745251
209	0.3610354212
210	0.3594304222
211	0.3582830241
212	0.3573775152
213	0.3569023312
214	0.3565610894
215	0.355953811
216	0.3552318095
217	0.3537979227
218	0.3529885551
219	0.3520557265
220	0.3510781816
221	0.3501351238
222	0.3495169021
223	0.3488743106
224	0.3481442841
225	0.3475368235
226	0.3463379537
227	0.3460318581
228	0.3452349673
229	0.3442993882
230	0.3428321565
231	0.3422717494
232	0.3411187864
233	0.3404348277
234	0.338573943
235	0.3379240392
236	0.3365114231
237	0.3359952439
238	0.3348520686
239	0.3339418891
240	0.3328744942
241	0.3326968094
242	0.3319842734
243	0.3306677349
244	0.329251209
245	0.3288500246
246	0.3282279773
247	0.3274676641
248	0.3270326143
249	0.3264433638
250	0.3257909024
251	0.324942374
252	0.324519575
253	0.3240223812
254	0.3231432141
255	0.3224640185
256	0.3215335941
257	0.3211990106
258	0.3202575703
259	0.3197771679
260	0.318967092
261	0.3183273554
262	0.3173561078
263	0.3166474667
264	0.3162722733
265	0.3158845721
266	0.3151170651
267	0.3140199196
268	0.3132826109
269	0.3126494054
270	0.3116236269
271	0.3112984031
272	0.3106285886
273	0.3100141539
274	0.3093607432
275	0.3088553254
276	0.3082012715
277	0.3074235403
278	0.3066131064
279	0.3061076394
280	0.3055574156
281	0.3052065653
282	0.3047805493
283	0.3043183556
284	0.3035172374
285	0.3027188131
286	0.3021055352
287	0.3013727682
288	0.3007748739
289	0.3003678279
290	0.2997628903
291	0.2992585473
292	0.2977801089
293	0.2973889345
294	0.2966843789
295	0.2961798411
296	0.2953539336
297	0.294776327
298	0.2946186528
299	0.2941186068
300	0.2935204925
301	0.2932450209
302	0.2923559959
303	0.2920983177
304	0.2913678612
305	0.2906826706
306	0.2901396489
307	0.2894913329
308	0.2889106438
309	0.2882393749
310	0.2872659135
311	0.2868513644
312	0.2864639961
313	0.2854145074
314	0.2850409179
315	0.2843939772
316	0.2839911919
317	0.2835632797
318	0.2828204167
319	0.2822231676
320	0.281838883
321	0.2814674257
322	0.280991132
323	0.2804110272
324	0.2796852127
325	0.2792922414
326	0.2786385543
327	0.2785098238
328	0.2776593659
329	0.2772019799
330	0.2768957885
331	0.2764412809
332	0.2760182124
333	0.2756129044
334	0.2754584982
335	0.2749966474
336	0.2746097565
337	0.2733721808
338	0.272929826
339	0.2726576696
340	0.2722194423
341	0.2714752075
342	0.2707028006
343	0.2702045164
344	0.2695314918
345	0.2690452818
346	0.2685958875
347	0.2682002466
348	0.2677952731
349	0.2671342512
350	0.2667816335
351	0.2664823034
352	0.265695465
353	0.2654938611
354	0.2649854378
355	0.2645074111
356	0.2640451502
357	0.2637771818
358	0.2631766292
359	0.2623993972
360	0.2619600147
361	0.2617115861
362	0.2613705262
363	0.2610798619
364	0.26064555
365	0.2603099408
366	0.2599165829
367	0.2594491044
368	0.2589461655
369	0.2580847458
370	0.2574312128
371	0.2572297496
372	0.2568199531
373	0.2566546334
374	0.256431863
375	0.2559073279
376	0.2557366793
377	0.2554339246
378	0.2552034857
379	0.2550402316
380	0.2544956249
381	0.253883514
382	0.2534803706
383	0.2532668072
384	0.2526749766
385	0.2523529056
386	0.2518028718
387	0.251629498
388	0.2511105914
389	0.2509613255
390	0.2501168837
391	0.2491565362
392	0.2487188351
393	0.2482635713
394	0.2477556927
395	0.2475372132
396	0.2471961841
397	0.2467525941
398	0.2463543328
399	0.2458269489
400	0.2454524396
401	0.244988418
402	0.2445378086
403	0.2442943463
404	0.2438668866
405	0.2435672753
406	0.2432815045
407	0.2429280408
408	0.2422738464
409	0.2416555336
410	0.2414681493
411	0.2413369405
412	0.2407672382
413	0.2406731265
414	0.2403078165
415	0.2398199789
416	0.2394028092
417	0.2390978705
418	0.2389295249
419	0.2386891662
420	0.2381103882
421	0.2374756954
422	0.2372511583
423	0.2370754055
424	0.2369075892
425	0.2365207553
426	0.2363050216
427	0.2359185282
428	0.2352042663
429	0.2347043668
430	0.2344429727
431	0.2342294532
432	0.2333327016
433	0.2329838179
434	0.2325935717
435	0.2322497204
436	0.2320121307
437	0.231691175
438	0.2311557521
439	0.2299660806
440	0.2294515708
441	0.229026165
442	0.2287437116
443	0.2282456318
444	0.2278747421
445	0.2277031553
446	0.2274759372
447	0.2272694
448	0.2269835748
449	0.2265591011
450	0.226319606
451	0.2259139472
452	0.2257916764
453	0.2256719217
454	0.2251628013
455	0.224875621
456	0.2247927542
457	0.2245250541
458	0.2241939647
459	0.2239783037
460	0.2234762756
461	0.2232677415
462	0.2227712176
463	0.2222969806
464	0.2221151538
465	0.2216661359
466	0.2215048297
467	0.2210175993
468	0.2207759944
469	0.220289214
470	0.2200883524
471	0.2199503645
472	0.2194521507
473	0.219186327
474	0.2187976504
475	0.2186523121
476	0.2182646066
477	0.2177893958
478	0.2174082605
479	0.2165769458
480	0.2161295691
481	0.2157426501
482	0.2155768216
483	0.2152672787
484	0.2150488627
485	0.214864
486	0.2146291094
487	0.2142856653
488	0.2141801049
489	0.2138256859
490	0.2135283382
491	0.2133909726
492	0.2131140287
493	0.2129568711
494	0.2126930287
495	0.2122784159
496	0.2121553163
497	0.2117015834
498	0.2114653357
499	0.2112255222
500	0.2110903534
501	0.210641953
502	0.2104420478
503	0.2101821393
504	0.209868552
505	0.2093933846
506	0.2091408408
507	0.2088616433
508	0.2087750245
509	0.2085376299
510	0.2081764661
511	0.207762305
512	0.2075747579
513	0.2074188846
514	0.2071615081
515	0.2067005848
516	0.2062924998
517	0.2058278111
518	0.2055731681
519	0.2054441428
520	0.2053025865
521	0.2049857275
522	0.2044486151
523	0.2041655093
524	0.203749718
525	0.2036320782
526	0.203458731
527	0.20294224
528	0.2028662745
529	0.2026287732
530	0.2023102191
531	0.2021112883
532	0.2019884397
533	0.2018053772
534	0.201698657
535	0.2014199978
536	0.2012880409
537	0.201111455
538	0.2008842868
539	0.2007586728
540	0.200528625
541	0.2000441016
542	0.1995350172
543	0.1993721602
544	0.1990741553
545	0.1988574231
546	0.1984984517
547	0.1981316291
548	0.1977011624
549	0.1973288493
550	0.1970483463
551	0.1968862307
552	0.1967070586
553	0.1966110378
554	0.1963720176
555	0.1962184222
556	0.1959474612
557	0.195608995
558	0.1954121758
559	0.1951957874
560	0.1949734778
561	0.1947423099
562	0.1945370561
563	0.1944317763
564	0.1941568888
565	0.1940517758
566	0.1939309288
567	0.1937354713
568	0.193199372
569	0.1926402898
570	0.1923229683
571	0.1920157152
572	0.1916679239
573	0.1914961207
574	0.1913456799
575	0.1911716397
576	0.1909006318
577	0.1904175056
578	0.1901694833
579	0.1899542726
580	0.189677174
581	0.1893056038
582	0.1891633774
583	0.1890367754
584	0.1886891066
585	0.1885103019
586	0.1881984411
587	0.1879437355
588	0.1875444226
589	0.1869897376
590	0.186739553
591	0.1865492397
592	0.1863199416
593	0.1862608485
594	0.1861122558
595	0.1856587326
596	0.1854146604
597	0.1853021147
598	0.1850347655
599	0.1848775268
600	0.1845987595
601	0.1841785444
602	0.1839888446
603	0.1836751806
604	0.1833714023
605	0.1832189589
606	0.1828257153
607	0.1826093817
608	0.1823577902
609	0.1821431944
610	0.1819730839
611	0.1818039654
612	0.1817134554
613	0.1816005774
614	0.1813545453
615	0.1811576645
616	0.180932859
617	0.180317907
618	0.1801581612
619	0.1799398258
620	0.179744702
621	0.1796030759
622	0.179550746
623	0.1792610781
624	0.179078493
625	0.1788810621
626	0.1785527806
627	0.1782610643
628	0.177691187
629	0.1775778663
630	0.1772672357
631	0.1769621323
632	0.1767213923
633	0.1763760958
634	0.1761791837
635	0.1760392251
636	0.1757895297
637	0.1755980583
638	0.1754751589
639	0.1751736691
640	0.1750208692
641	0.1747394154
642	0.1743110087
643	0.1742131339
644	0.1741517964
645	0.174048703
646	0.1739195365
647	0.1736799106
648	0.1736149443
649	0.1735475284
650	0.1734563895
651	0.1734074342
652	0.173228504
653	0.1729714659
654	0.1725603923
655	0.1724152125
656	0.172227248
657	0.1721160443
658	0.1718716025
659	0.1717660499
660	0.1714083828
661	0.171122193
662	0.1707799983
663	0.1704999898
664	0.1703009393
665	0.1701568642
666	0.1697361491
667	0.1694236772
668	0.1691153233
669	0.1690497134
670	0.1689011957
671	0.1685800719
672	0.1684409813
673	0.1682070162
674	0.1679391959
675	0.1678788248
676	0.1677589035
677	0.1676745644
678	0.1675278807
679	0.167458011
680	0.1672894544
681	0.1669161251
682	0.1667411647
683	0.1664390103
684	0.1663359549
685	0.1661477501
686	0.1659389412
687	0.1656493961
688	0.1655346364
689	0.1652040847
690	0.1650623777
691	0.1649541454
692	0.1648409951
693	0.1641578028
694	0.1640255948
695	0.1638022183
696	0.1637253634
697	0.163600446
698	0.1633795208
699	0.1631062821
700	0.1627956485
701	0.1626580294
702	0.1620836669
703	0.1618886683
704	0.1616105888
705	0.1614048164
706	0.1610859875
707	0.160815822
708	0.1606964047
709	0.1605383993
710	0.1603422299
711	0.1601695582
712	0.1600812359
713	0.1599077189
714	0.1597814191
715	0.1596521564
716	0.1593353564
717	0.1592802312
718	0.1590110326
719	0.158977899
720	0.1586975099
721	0.1586078536
722	0.1583624881
723	0.1581088447
724	0.1580019748
725	0.1577707258
726	0.1575329149
727	0.1574745202
728	0.1573562014
729	0.1570151246
730	0.156612176
731	0.1565064069
732	0.1563066841
733	0.1560889181
734	0.155890507
735	0.1555709778
736	0.1555298819
737	0.155364253
738	0.1551161768
739	0.1550213047
740	0.1548248937
741	0.1546689818
742	0.154596741
743	0.154475168
744	0.1544414224
745	0.1542330562
746	0.1541013065
747	0.1539854682
748	0.1538084483
749	0.1537146238
750	0.1535633486
751	0.1534204672
752	0.1532389442
753	0.1530418984
754	0.1527497994
755	0.1526320906
756	0.1524272114
757	0.1520969229
758	0.1519487618
759	0.151779337
760	0.151568508
761	0.1514180851
762	0.1512539139
763	0.1511456771
764	0.1509594726
765	0.1508626307
766	0.1507460699
767	0.1506615208
768	0.1505683137
769	0.1500121676
770	0.1495946515
771	0.1495253447
772	0.1493731384
773	0.1491958093
774	0.1490305697
775	0.1489350098
776	0.1488009626
777	0.1486567984
778	0.1485557161
779	0.148391372
780	0.1482937576
781	0.1481232776
782	0.1479880438
783	0.1479314983
784	0.1478025834
785	0.1475855024
786	0.1474833336
787	0.1473651214
788	0.1471449621
789	0.1469369983
790	0.1466825196
791	0.1465679582
792	0.1464422951
793	0.1464071266
794	0.1461135087
795	0.1459725225
796	0.145731718
797	0.1455314258
798	0.1453832381
799	0.1453544468
800	0.1452259818
801	0.1451115024
802	0.1449984665
803	0.1447522474
804	0.1445948443
805	0.144503376
806	0.1444263159
807	0.1443213705
808	0.1438569652
809	0.1435454795
810	0.1435183151
811	0.143222639
812	0.1428663392
813	0.1426604548
814	0.1425745
815	0.1425168184
816	0.1424390759
817	0.1423747407
818	0.1422345835
819	0.1420628993
820	0.1420316747
821	0.1418143848
822	0.1416190065
823	0.141453477
824	0.1412683895
825	0.1411521046
826	0.1410795662
827	0.1409945983
828	0.1407313344
829	0.1406791407
830	0.1405558627
831	0.1404503979
832	0.1402891346
833	0.1402275162
834	0.140108655
835	0.139977812
836	0.1398134664
837	0.1396792536
838	0.1396479671
839	0.1393301527
840	0.1392543212
841	0.1390711603
842	0.1389018978
843	0.1387215601
844	0.1382306317
845	0.1378298931
846	0.1374708378
847	0.1374292641
848	0.137370454
849	0.137124365
850	0.1370205903
851	0.1369345051
852	0.1367825273
853	0.1365310461
854	0.1362827622
855	0.1362552575
856	0.1359960299
857	0.1358553882
858	0.1356972556
859	0.1356570175
860	0.1354429664
861	0.1352696435
862	0.1351614718
863	0.1351120193
864	0.1350576519
865	0.1348487403
866	0.1347263941
867	0.1346611897
868	0.1345819521
869	0.13438073
870	0.1341759367
871	0.1336300912
872	0.1332331594
873	0.1331823095
874	0.1329924836
875	0.132784793
876	0.1326601048
877	0.1325524539
878	0.132243857
879	0.1320833247
880	0.1319772451
881	0.1318170815
882	0.1315337277
883	0.1313079926
884	0.1309922911
885	0.1308193196
886	0.1305326317
887	0.1304188208
888	0.1302179437
889	0.1300863959
890	0.1297973582
891	0.1297670349
892	0.1296632959
893	0.1295927641
894	0.1295048846
895	0.1293337532
896	0.1292397951
897	0.1291157414
898	0.1290836071
899	0.1289613241
900	0.1287527252
901	0.1286505589
902	0.1285874031
903	0.1284066913
904	0.1283145734
905	0.1281074305
906	0.1280337792
907	0.1279337292
908	0.1279095153
909	0.1277890341
910	0.1276549359
911	0.1275604413
912	0.127468474
913	0.1273100954
914	0.1272206874
915	0.1271404485
916	0.1270615071
917	0.126923227
918	0.1268626429
919	0.1267828324
920	0.1266708683
921	0.12656888
922	0.1264936666
923	0.1264125652
924	0.1263041055
925	0.1262246532
926	0.1261196111
927	0.1258783708
928	0.1258076013
929	0.1256432938
930	0.1255303028
931	0.1253979999
932	0.1249671408
933	0.1247073395
934	0.124558119
935	0.1244388099
936	0.1243811037
937	0.124232731
938	0.1241177567
939	0.124064538
940	0.1239773854
941	0.1238099583
942	0.1236828531
943	0.1234703186
944	0.1233581543
945	0.1231577903
946	0.1230321828
947	0.1228887282
948	0.1226410352
949	0.1223071373
950	0.1222328575
951	0.1221557931
952	0.1219388432
953	0.1217717762
954	0.121518694
955	0.1214376919
956	0.1213097586
957	0.1212450911
958	0.1211430088
959	0.1210850689
960	0.120859937
961	0.1208325039
962	0.1206582309
963	0.1203352105
964	0.1201584545
965	0.1198744507
966	0.1197308663
967	0.1196342685
968	0.1195496354
969	0.1194940284
970	0.1192997962
971	0.119238653
972	0.1190871438
973	0.1189675043
974	0.1189178042
975	0.1187092371
976	0.1185181191
977	0.1182540506
978	0.1181880066
979	0.1180972952
980	0.1179235728
981	0.1177495012
982	0.1175655005
983	0.1174635186
984	0.1174183733
985	0.1173419618
986	0.1173188969
987	0.1172516588
988	0.1170904541
989	0.1168395848
990	0.1166420309
991	0.1164463388
992	0.11639389
993	0.1162557247
994	0.1161639878
995	0.1161489199
996	0.1160015291
997	0.1158947338
998	0.1156747197
999	0.1155919172
